word,sentence
change,Keep the change.
stuff,Good stuff.
kids,Kids.
fire,Fire!
crazy,Are you crazy?
part,Which part?
wish,As you wish.
working,It's working.
anyway,Anyway...
chance,Not a chance.
sleep,Go to sleep.
captain,Captain.
where's,Where's that?
taking,Where are you taking me?
phone,Give me the phone.
hurt,Are you hurt?
stand,Stand by.
trouble,Trouble?
word,Not a word.
waiting,What are you waiting for?
quite,Not quite.
set,All set.
its,It's on its way.
rest,Get some rest.
half,Half.
deal,Deal.
married,Are you married?
fight,Fight!
times,How many times do I have to tell you?
read,Read it.
number,Wrong number.
against,Anything you say can and will be used against you in a court of law.
close,Close your eyes.
inside,Inside.
cut,Cut!
point,That's not the point.
comes,Here he comes.
means,By all means.
whatever,Whatever.
makes,What makes you say that?
asked,I asked you a question.
lady,Lady!
em,Get 'em!
person,In person.
he'll,He'll be fine.
honey,Honey.
town,Get out of town.
important,It's important.
supposed,What's that supposed to mean?
least,At least.
shot,Nice shot.
making,You're making a mistake.
hours,Two hours.
ha,Ha!
week,A week?
yours,It's yours.
hmm,Hmm.
hurry,Hurry!
speak,Speak.
nobody,Nobody.
body,Over my dead body.
moment,Just a moment.
story,It's a long story.
side,I'm on your side.
break,Give me a break.
truth,It's the truth.
sister,Sister!
high,Are you high?
different,That's different.
game,Game over.
boys,"Come on, boys."
fun,Have fun.
goes,There he goes.
party,Party!
gets,It gets better.
husband,My husband.
daughter,My daughter.
couple,A couple of days.
um,Um.
blood,Blood.
gun,Give me the gun.
girls,Girls!
war,War!
six,Six.
office,In my office.
anymore,Not anymore.
along,Come along.
walk,Walk.
behind,Behind you!
children,Children.
send,Send him in.
ahead,Go ahead.
child,My child!
though,"Thank you, though."
lord,"Oh, Lord."
reason,No reason.
almost,Almost.
able,I might be able to help.
between,This is between you and me.
free,You're free.
buy,Can I buy you a drink?
brought,Brought to you by WITH S2 Written In The Heavens Subbing Squad
line,Line up!
either,Me either.
city,New York City.
full,Full house.
met,Have we met?
bed,I'm going to bed.
question,Can I ask you a question?
telling,I'm telling you.
answer,Answer me!
power,Power.
anybody,Anybody home?
women,Women.
started,Let's get started.
tried,I tried.
welcome,You're welcome.
seems,So it seems.
front,Eyes front.
funny,That's funny.
trust,Trust me.
ass,Kiss my ass.
save,Save me!
hate,I hate you!
pick,Pick it up.
died,He died.
stupid,Stupid!
alive,He's alive.
it'll,It'll be all right.
order,Order!
jack,Jack.
hour,At this hour?
hot,It's hot.
clear,Clear.
light,Got a light?
outside,Outside.
dog,Good dog.
they'll,They'll kill you.
news,Good news.
country,It's a free country.
lose,You lose.
sometimes,Sometimes.
fact,Is that a fact?
john,John.
months,Six months.
dinner,Dinner?
become,What will become of us?
shoot,Don't shoot!
white,White.
food,Food.
here's,Here's the deal.
poor,Poor thing.
black,Black.
alright,Alright.
perhaps,Perhaps.
law,It's the law.
uncle,Uncle!
feeling,How are you feeling?
whoa,Whoa!
shouldn't,You shouldn't have.
living,What do you do for a living?
sick,Are you sick?
glad,I'm glad.
promise,I promise.
taken,None taken.
book,What book?
leaving,I'm leaving.
sent,Who sent you?
till,Till death do us part.
running,We're running out of time.
master,Master!
himself,He killed himself.
needs,He needs me.
cool,Cool.
sort,Sort of.
boss,Boss!
gentlemen,Gentlemen.
special,Nothing special.
wow,Wow.
bet,You bet.
luck,Good luck.
red,Red.
touch,Don't touch me!
cannot,I cannot.
safe,You're safe.
ten,Ten.
king,King!
cold,It's cold.
drive,Drive!
small,Small world.
scared,I'm scared.
air,Hands in the air!
lives,Run for your lives!
wonderful,Wonderful.
fast,Not so fast.
daddy,Daddy!
company,We got company.
plan,I have a plan.
how's,How's it going?
bitch,Son of a bitch!
ya,See ya.
serious,Are you serious?
evening,Good evening.
catch,Catch him!
street,Across the street.
control,Everything's under control.
hang,Hang on.
darling,Darling.
possible,It's possible.
seem,So it would seem.
follow,Follow me.
perfect,Perfect.
mm,Mm-hmm.
human,Human.
team,We're a team.
past,It's in the past.
jesus,Jesus.
top,From the top.
quiet,Quiet!
hair,Your hair.
lucky,You're lucky.
earth,Earth.
sounds,Sounds good.
dance,Let's dance.
sound,How does that sound?
murder,Murder.
others,Where are the others?
playing,What are you playing at?
happens,It happens.
pull,Pull!
asking,I'm asking you.
win,You win.
rather,I'd rather not.
known,I should have known.
suppose,I suppose so.
ship,Abandon ship!
million,Not in a million years.
he'd,He said he'd be here.
dream,I had a dream.
parents,Where are your parents?
careful,Be careful.
wonder,I wonder.
lie,Lie down.
general,General.
sweet,Sweet.
sign,Sign here.
write,Write it down.
hospital,Hospital?
coffee,Coffee?
words,Mark my words.
we'd,We'd better go.
return,Return to base.
music,Music.
beat,Beat it.
drop,Drop it!
somewhere,Somewhere.
sense,It doesn't make sense.
ladies,Ladies.
goodbye,Goodbye.
they've,They've gone.
straight,Let me get this straight.
longer,How much longer?
meeting,Nice meeting you.
secret,It's a secret.
weeks,Two weeks.
feet,On your feet.
sam,Sam.
clean,He's clean.
calling,Who are you calling?
learn,Watch and learn.
throw,Throw it!
eye,Keep an eye on him.
fall,Fall back!
finally,Finally.
report,Report.
step,Watch your step.
explain,Let me explain.
weren't,You weren't there.
given,That's a given.
picture,I get the picture.
worth,It's not worth it.
piece,Piece of cake.
seven,Seven.
ma'am,"Yes, ma'am."
road,Let's get this show on the road.
fault,It's not your fault.
mad,Are you mad?
president,Mr. President.
quick,Quick!
looked,I looked everywhere.
less,More or less.
takes,Whatever it takes.
certainly,Certainly.
moving,Keep moving.
none,None.
frank,Frank.
george,George.
land,Land!
marry,Will you marry me?
felt,I felt it.
questions,Any questions?
worked,It worked.
tired,I'm tired.
chief,Chief!
ride,Thanks for the ride.
class,Class dismissed.
changed,I changed my mind.
seeing,I'll be seeing you.
early,You're early.
officer,Officer!
strange,Strange.
court,Anything you say can and will be used against you in a court of law.
future,The future.
date,It's a date.
figure,Go figure.
pass,Pass.
turned,I turned it off.
absolutely,Absolutely.
giving,I'm not giving up.
state,State your name.
ooh,Ooh!
yesterday,Yesterday.
mistake,I made a mistake.
loved,I loved her.
wake,Wake up!
act,Act natural.
joe,Joe!
forgive,Forgive me.
expect,What do you expect?
calm,Calm down.
kidding,Are you kidding?
busy,I'm busy.
unless,Unless...
sex,Sex.
eh,Eh?
strong,Be strong.
ones,Which ones?
charlie,Charlie.
kiss,Kiss me.
fool,Fool!
bill,Bill.
christmas,Merry Christmas.
clothes,Take off your clothes.
hotel,Hotel?
mouth,Open your mouth.
lieutenant,Lieutenant.
eight,Eight.
worried,I'm worried.
choice,I had no choice.
caught,You caught me.
except,Except...
pain,Are you in pain?
kept,What kept you?
michael,Michael.
attack,Attack!
major,Major.
finish,Let me finish.
near,Don't come near me.
dark,It was dark.
she'll,She'll be fine.
letter,What letter?
works,It works.
hasn't,Who hasn't?
wear,Wear it.
worse,Worse.
army,You and what army?
lovely,Lovely.
sell,Sell it.
colonel,Colonel.
station,"For his adventures, just be sure and stay tuned to this station."
blue,Blue.
train,Stop the train!
finished,Finished.
born,Where were you born?
decided,I haven't decided yet.
honor,"Yes, Your Honor."
handle,I can handle it.
terrible,Terrible.
month,A month?
information,Information.
ring,The ring.
ball,Ball!
security,Security.
fair,Fair enough.
age,Age?
present,Present.
horse,A horse?
boat,Boat.
building,In the building.
meant,That's not what I meant.
wedding,Wedding?
short,Short.
missing,Missing?
lying,You're lying.
forgot,I forgot.
afternoon,Good afternoon.
happening,What's happening?
watching,What are you watching?
york,New York.
movie,What movie?
american,American.
thinks,That's what he thinks.
swear,I swear.
count,You can count on me.
attention,Attention!
floor,On the floor.
paper,Paper!
peace,Peace.
lunch,Lunch.
tom,Tom.
charge,Charge!
broke,I'm broke.
system,"In the criminal justice system the people are represented by two separate yet equally important groups, the police who investigate crime and the district attorneys who prosecute the offenders."
miles,Miles.
song,I love this song.
join,Join us.
blow,Blow.
voice,Keep your voice down.
message,Leave a message.
needed,I needed that.
birthday,Happy birthday.
sing,Sing!
table,On the table.
round,Gather round.
force,Force of habit.
dangerous,It's too dangerous.
paid,I paid for it.
ran,I ran away.
simple,Simple.
harry,Harry.
stick,Stick around.
cover,Take cover!
during,We slaughtered them during the night.
buddy,"Hey, buddy."
anywhere,I'm not going anywhere.
bag,What's in the bag?
forever,Forever.
lead,Lead the way.
gold,Gold.
imagine,Can you imagine?
spend,Don't spend it all in one place.
across,Across the street.
instead,Instead...
middle,It's the middle of the night.
talked,We talked about this.
bank,The bank.
completely,Completely.
marriage,Marriage?
evidence,Evidence.
sitting,Why are you sitting here?
bought,I bought it.
interesting,Interesting.
box,What's in the box?
fly,Fly!
david,David.
accident,It was an accident.
test,Test.
interested,I'm not interested.
surprise,Surprise!
fear,Fear.
besides,Besides...
certain,Are you certain?
relax,Relax.
smart,Smart.
fish,Fish.
club,Join the club.
mike,Mike.
key,The key.
enjoy,Enjoy.
rich,We're rich!
won,I won!
mmm,Mmm.
hide,Hide!
sun,The sun.
mama,Mama!
personal,It's personal.
situation,What's the situation?
crime,Is that a crime?
protect,I'll protect you.
entire,Why don't you eliminate the entire Narn Homeworld?
bastard,Bastard!
quickly,Quickly!
tv,TV.
trip,Have a good trip.
stopped,It stopped.
service,At your service.
tea,Tea?
fix,I'll fix it.
sergeant,Sergeant.
pleasure,My pleasure.
goddamn,Goddamn it!
mary,Mary.
fell,I fell.
idiot,Idiot!
hundred,Five hundred.
mark,Mark.
third,Third floor.
area,This is a restricted area.
problems,Any problems?
history,History.
killing,You're killing me.
fighting,Stop fighting!
wearing,What are you wearing?
sake,For God's sake!
space,"Space, the final frontier."
hungry,I'm hungry.
sea,The sea.
ice,Ice.
rock,Rock
tough,Tough.
star,I can reach any star
soul,Not a soul.
plane,The plane!
agent,I'm a federal agent.
deep,Take a deep breath.
weird,That's weird.
window,The window.
standing,Standing by.
respect,Respect.
saved,You saved my life.
forward,Forward!
ground,On the ground!
agree,I agree.
missed,I missed you.
offer,Can I offer you a drink?
using,Please do NOT hardsub andor stream this episode using our English subtitles.
professor,Professor!
dress,Nice dress.
san,San Francisco.
proud,I'm proud of you.
broken,It's broken.
position,We're in position.
carry,Carry on.
film,What film?
single,Single.
neither,Me neither.
whether,Whether you like it or not.
teach,I'll teach you.
ought,That ought to do it.
government,The government?
dude,Dude.
cop,I'm a cop.
record,Off the record.
cops,Cops!
quit,I quit.
smell,What's that smell?
private,It's private.
difficult,It's difficult.
dare,How dare you!
prove,Prove it.
calls,Duty calls.
prison,Prison?
brain,Use your brain.
impossible,That's impossible.
apartment,My apartment.
bar,It's a bar.
paul,Paul.
green,Green.
definitely,Definitely.
mess,What a mess.
accept,I accept.
card,Here's my card.
field,In the field.
evil,Evil.
seat,Have a seat.
wall,Against the wall.
visit,Visit?
list,What list?
thousand,Five thousand.
normal,Normal.
amazing,Amazing.
drunk,You're drunk.
aah,Aah!
angry,Don't be angry.
difference,What's the difference?
seconds,Ten seconds.
scene,Don't make a scene.
realize,I realize that.
peter,Peter.
english,English
share,Share?
judge,I'll be the judge of that.
honest,Honest.
doubt,I doubt it.
within,Within reason.
jail,Jail?
double,On the double!
orders,Doctor's orders.
cry,Don't cry.
park,You can't park here.
public,In public?
nine,Nine.
totally,Totally.
appreciate,I appreciate it.
upset,Don't get upset.
speaking,Speaking.
group,Subtitles by SDI Media Group
dollars,Dollars?
store,I'm going to the store.
madam,Madam.
contact,Contact.
la,C'est la vie.
fuckin,Fuckin' A.
bob,Bob.
foot,My foot!
jim,Jim.
ben,Ben.
machine,Mean Machine!
south,South.
favor,Do me a favor.
often,Do you come here often?
involved,Don't get involved.
joke,It's a joke.
lived,How long have you lived here?
christ,Jesus Christ.
spent,I spent it.
cute,Cute.
dying,I'm dying.
yo,Yo!
doc,Doc!
upon,Once upon a time...
cross,Cross my heart.
especially,Especially you.
detective,Detective.
likes,He likes you.
slow,Slow down.
promised,You promised.
fat,Fat chance.
one's,This one's mine.
bloody,Bloody hell.
killer,He's a killer.
jump,Jump!
beginning,This is just the beginning.
cash,Cash.
liked,I liked it.
walking,Keep walking.
tony,Tony.
whose,Whose?
duty,Duty calls.
arrest,You're under arrest.
america,America.
loves,He loves me.
bear,I can't bear it.
island,Welcome to Fantasy Island.
push,Push!
sad,Sad.
radio,Radio.
bother,Don't bother.
driving,I'm driving.
church,Church.
owe,I owe you one.
moved,I've moved on.
truck,Get in the truck.
college,College.
north,North.
lawyer,I'm a lawyer.
reach,I can't reach it.
congratulations,Congratulations.
starting,It's starting.
commander,Commander.
james,James.
tree,Tree.
aunt,Aunt!
board,Board!
enemy,The enemy!
village,In the village.
river,River?
ow,Ow!
beer,Beer.
de,De nada.
french,French.
arms,Present arms!
wine,Wine?
art,Art.
dirty,It's dirty.
holy,Holy shit!
eating,What are you eating?
dreams,Sweet dreams.
bus,Stop the bus!
escape,Escape?
immediately,Immediately.
l'm,l'm sorry.
wind,Wind.
wrote,I wrote it.
stuck,It's stuck.
feels,It feels good.
picked,I picked it up.
ho,Ho!
sleeping,She's sleeping.
rid,Get rid of him.
shoes,Shoes.
laugh,Don't laugh.
named,Do you know a guy named The Tapeworm?
folks,"All right, folks."
shh,Shh.
planet,"Go, Planet!"
teacher,Teacher!
grand,Grand.
staying,I'm staying.
gives,Who gives a shit?
upstairs,Upstairs.
ray,Ray.
hadn't,I hadn't noticed.
search,Search me.
queen,Queen.
johnny,Johnny!
holding,How are you holding up?
shop,Shop.
lots,Lots.
partner,Partner.
moon,The moon.
putting,You're putting me on.
jimmy,Jimmy.
cat,Cat got your tongue?
paris,Paris.
man's,The man's dead.
west,West.
books,Books.
decision,I've made my decision.
self,It was self-defense.
seriously,Seriously.
silly,Don't be silly.
arm,My arm!
gift,It's a gift.
rules,You know the rules.
girlfriend,Girlfriend?
nose,My nose!
low,Stay low.
destroy,Destroy it.
action,Action!
figured,I figured.
innocent,I'm innocent.
smoke,I don't smoke.
price,Name your price.
match,Got a match?
department,Police department.
guard,Guard!
glass,Glass.
kick,Kick his ass!
grab,Grab him!
blame,I don't blame you.
suit,Suit yourself.
father's,My father's dead.
mission,Mission accomplished.
patient,Be patient.
begin,Let's begin.
computer,Computer.
continue,Continue.
listening,I'm listening.
they'd,I thought they'd never leave.
address,What's the address?
type,You're not my type.
indeed,Indeed.
lt's,lt's okay.
usually,Usually.
battle,Battle stations.
race,I'll race you.
grow,Grow up.
pictures,Captioning sponsored by PARAMOUNT PICTURES
obviously,Obviously.
suddenly,Suddenly...
further,No further questions.
ma,Ma!
notice,I didn't notice.
she'd,She'd like that.
lock,Lock the door.
breakfast,Breakfast.
relationship,Relationship?
crying,Why are you crying?
gas,Gas.
passed,You passed.
guilty,Guilty.
guns,Guns.
majesty,Your Majesty.
waste,What a waste.
magic,Magic.
became,We became friends.
flight,How was your flight?
press,Press.
allow,Allow me.
prince,Prince!
awful,It's awful.
brothers,Brothers!
feelings,No hard feelings.
beg,I beg your pardon?
boyfriend,Boyfriend?
smile,Smile.
twice,Twice.
surprised,I'm not surprised.
henry,Henry.
aye,Aye.
billy,Billy!
admit,Admit it.
closed,We're closed.
pardon,I beg your pardon?
legs,Spread your legs.
burn,Burn!
ourselves,Let's not get ahead of ourselves.
max,Max!
decide,You decide.
hole,Fire in the hole!
spot,You missed a spot.
nervous,Nervous?
learned,I've learned my lesson.
ms,Ms.
mention,Don't mention it.
leg,My leg!
plenty,Plenty.
locked,It's locked.
names,What are their names?
would've,Who would've thought?
empty,It's empty.
warm,It's warm.
cell,Cell Phone Ringing
steve,Steve.
kitchen,In the kitchen.
summer,Summer.
arrived,We've arrived.
fit,It doesn't fit.
however,However...
fellow,For he's a jolly good fellow
london,London.
everywhere,Everywhere.
cost,How much does it cost?
risk,I'll risk it.
knock,Knock it off!
steal,I didn't steal it.
sweetheart,Sweetheart.
inspector,Inspector.
herself,She killed herself.
complete,Complete.
lay,Lay down.
goin,What's goin' on?
chicken,Chicken.
reading,What are you reading?
heaven,Heaven.
roll,Let's roll.
support,Thanks for your support.
witness,Your witness.
fired,You're fired.
hat,Nice hat.
laughing,Laughing
neck,What happened to your neck?
raise,Raise your right hand.
camera,Camera.
danger,Danger!
flying,I'm flying!
fresh,Fresh.
papers,Papers.
experience,Experience.
outta,Get outta here!
final,"Space, the final frontier."
wild,Wild.
bunch,Thanks a bunch.
weapon,Drop your weapon!
otherwise,Otherwise...
bomb,Bomb!
shooting,Stop shooting!
hm,Mm-hm.
everything's,Everything's fine.
drinking,What are you drinking?
hardly,Hardly.
spirit,That's the spirit.
treat,My treat.
flowers,Flowers?
worst,The worst.
command,Your wish is my command.
choose,You choose.
taste,Taste it.
asleep,He's asleep.
extra,Extra!
nick,Nick.
mister,Mister!
interest,With interest.
themselves,They can take care of themselves.
plans,Change of plans.
sold,Sold.
level,Level with me.
memory,Refresh my memory.
allowed,It's not allowed.
excellent,Excellent.
pop,Pop!
ways,In more ways than one.
alex,Alex.
form,Form up!
how'd,How'd it go?
sky,I will touch the sky
played,Well played.
stole,I stole it.
whom,By whom?
don,Don.
ridiculous,This is ridiculous.
written,Brought to you by WITH S2 Written In The Heavens Subbing Squad
god's,For God's sake!
places,Places.
that'll,That'll do.
mate,"Thanks, mate."
cup,Would you like a cup of tea?
beauty,Beauty.
hall,Down the hall.
medical,Medical emergency.
writing,What are you writing?
apart,It's falling apart.
keeping,What's keeping you?
roger,Roger.
heavy,It's heavy.
sheriff,Sheriff.
mommy,Mommy!
weapons,Drop your weapons!
hero,My hero.
crap,Crap.
necessary,That won't be necessary.
hiding,What are you hiding?
lights,Lights.
bobby,Bobby.
blind,Are you blind?
wondering,I was wondering...
van,Van!
bridge,Bridge.
camp,Head back to camp.
rose,Rose!
bottle,Give me the bottle.
above,All of the above.
eddie,Eddie.
acting,Why are you acting like this?
tape,What tape?
bullshit,Bullshit.
bird,Bird.
emergency,It's an emergency.
yep,Yep.
doin,How you doin'?
consider,Consider it done.
princess,Princess!
losing,We're losing him.
helped,It can't be helped.
seemed,It seemed like a good idea at the time.
according,According to who?
rain,Rain.
danny,Danny.
beach,Howard Beach!
code,Code red.
asshole,Asshole!
study,I have to study.
track,I lost track of time.
east,East.
speed,Speed.
closer,Come closer.
strength,Save your strength.
responsible,I'm responsible.
keeps,Keeps to himself.
dogs,Dogs?
nor,Nor do I.
main,That's the main thing.
bigger,Bigger.
drugs,Drugs?
build,Build me an army worthy of Mordor.
simply,Yesterday's rules are simply loose today
sight,Get out of my sight!
correct,Correct.
tight,Sleep tight.
corner,Around the corner.
favorite,My favorite.
dick,Dick.
stone,Stone.
knife,Give me the knife.
shame,What a shame.
following,Why are you following me?
gotten,What's gotten into you?
helping,You're not helping.
faith,Faith.
stage,Get off the stage!
faster,Faster!
mother's,It was my mother's.
due,When are you due?
twenty,Twenty.
note,A note?
earlier,Why didn't you tell me earlier?
willing,God willing.
military,Military?
famous,You're famous.
tells,Nobody tells me anything.
trick,It's a trick.
suspect,Am I a suspect?
should've,I should've known.
crew,What about the crew?
cook,Can you cook?
angel,Angel.
keys,Give me the keys.
built,I built it.
color,The following program is brought to you in living color on NBC.
itself,History repeats itself.
richard,Richard.
bucks,Ten bucks.
huge,It's huge.
justice,Justice.
could've,It could've been worse.
milk,Milk?
bathroom,I have to go to the bathroom.
apologize,I apologize.
operation,What operation?
beyond,To infinity and beyond!
large,Large.
cousin,Cousin.
pregnant,I'm pregnant.
possibly,Possibly.
animal,Animal!
weekend,Have a good weekend.
leaves,Nobody leaves.
knowing,Nice knowing you.
lee,Lee.
walked,I walked.
pressure,No pressure.
pal,"Thanks, pal."
ill,Are you ill?
copy,Copy that.
cars,Cars.
charles,Charles.
skin,Skin.
dressed,Get dressed.
turns,Whatever turns you on.
account,How do you account for that?
states,"Ladies and gentlemen, the President of the United States."
serve,How may I serve you?
dancing,Dancing.
energy,Energy.
checked,I checked.
showed,He never showed up.
bottom,Bottom line.
mum,Mum!
pants,Take off your pants.
common,We have nothing in common.
murdered,Murdered?
strike,Strike!
held,I got held up.
belong,I don't belong here.
jerry,Jerry.
somehow,Somehow.
dumb,Don't play dumb.
forgotten,Have you forgotten?
papa,Papa!
tommy,Tommy!
lies,Lies!
devil,Speak of the devil.
hanging,I'm hanging up.
file,Single file.
rule,That's the rule.
hoping,I was hoping you'd say that.
nature,It's human nature.
al,Al.
size,What size?
taught,You taught me that.
advice,Thanks for the advice.
lt,lt is.
dropped,I dropped it.
victim,The victim.
guy's,This guy's good.
heads,Heads.
several,Several times.
health,To your health.
practice,Practice.
among,Among other things.
nonsense,Nonsense.
sarah,Sarah.
pulled,We pulled 500 men at Osgiliath.
whoever,Whoever.
apparently,Apparently.
singing,Singing
er,"Well, er..."
whoo,Whoo!
sword,Sword!
